score	annot	celltype
chr1-153922843-153923343	1	Conserved	B-lymphocytes
chr1-153945861-153946361	1	Conserved	B-lymphocytes
chr1-156487829-156488329	1	Conserved	B-lymphocytes
chr1-156488487-156488987	1	Conserved	B-lymphocytes
chr1-156489006-156489506	1	Conserved	B-lymphocytes
chr1-156492569-156493069	1	Conserved	B-lymphocytes
chr1-159910339-159910839	1	Conserved	B-lymphocytes
chr1-161069632-161070132	1	Conserved	B-lymphocytes
chr1-167220495-167220995	1	Conserved	B-lymphocytes
chr1-167328675-167329175	1	Conserved	B-lymphocytes
chr1-167617561-167618061	1	Conserved	B-lymphocytes
chr1-167627995-167628495	1	Conserved	B-lymphocytes
chr1-167935923-167936423	1	Conserved	B-lymphocytes
chr1-172532739-172533239	1	Conserved	B-lymphocytes
chr1-172533253-172533753	1	Conserved	B-lymphocytes
chr1-172746245-172746745	1	Conserved	B-lymphocytes
chr1-175188821-175189321	1	Conserved	B-lymphocytes
chr1-175209048-175209548	1	Conserved	B-lymphocytes
chr1-178581235-178581735	1	Conserved	B-lymphocytes
chr1-178724961-178725461	1	Conserved	B-lymphocytes
chr1-178726138-178726638	1	Conserved	B-lymphocytes
chr1-179081764-179082264	1	Conserved	B-lymphocytes
chr1-179882401-179882901	1	Conserved	B-lymphocytes
chr1-181088379-181088879	1	Conserved	B-lymphocytes
chr1-184754760-184755260	1	Conserved	B-lymphocytes
chr1-185317163-185317663	1	Conserved	B-lymphocytes
chr1-185317781-185318281	1	Conserved	B-lymphocytes
chr1-186375129-186375629	1	Conserved	B-lymphocytes
chr1-192808694-192809194	1	Conserved	B-lymphocytes
chr1-198621143-198621643	1	Conserved	B-lymphocytes
chr1-198681774-198682274	1	Conserved	B-lymphocytes
chr1-201019353-201019853	1	Conserved	B-lymphocytes
chr1-201023493-201023993	1	Conserved	B-lymphocytes
chr1-203289539-203290039	1	Conserved	B-lymphocytes
chr1-203290351-203290851	1	Conserved	B-lymphocytes
chr1-203324989-203325489	1	Conserved	B-lymphocytes
chr1-203325674-203326174	1	Conserved	B-lymphocytes
chr1-203764845-203765345	1	Conserved	B-lymphocytes
chr1-205288159-205288659	1	Conserved	B-lymphocytes
chr1-205631265-205632266	1	Conserved	B-lymphocytes
chr1-206556971-206557471	1	Conserved	B-lymphocytes
chr1-206679601-206680101	1	Conserved	B-lymphocytes
chr1-206922999-206923499	1	Conserved	B-lymphocytes
chr1-206930162-206930662	1	Conserved	B-lymphocytes
chr1-207321300-207321800	1	Conserved	B-lymphocytes
chr1-207454020-207454520	1	Conserved	B-lymphocytes
chr1-207454534-207455034	1	Conserved	B-lymphocytes
chr1-209755821-209756321	1	Conserved	B-lymphocytes
chr1-211579055-211579555	1	Conserved	B-lymphocytes
chr1-212285017-212285517	1	Conserved	B-lymphocytes
chr1-212414761-212415261	1	Conserved	B-lymphocytes
chr1-221741983-221742483	1	Conserved	B-lymphocytes
chr1-221742702-221743202	1	Conserved	B-lymphocytes
chr1-225427901-225428401	1	Conserved	B-lymphocytes
chr1-225444857-225445357	1	Conserved	B-lymphocytes
chr1-225999240-225999740	1	Conserved	B-lymphocytes
chr1-234963146-234963646	1	Conserved	B-lymphocytes
chr1-235328176-235328676	1	Conserved	B-lymphocytes
chr1-236281830-236282330	1	Conserved	B-lymphocytes
chr1-241519563-241520063	1	Conserved	B-lymphocytes
chr1-241640180-241640680	1	Conserved	B-lymphocytes
chr1-243850116-243850616	1	Conserved	B-lymphocytes
chr1-243850812-243851312	1	Conserved	B-lymphocytes
chr1-244047573-244048073	1	Conserved	B-lymphocytes
chr1-244048166-244048666	1	Conserved	B-lymphocytes
chr1-244652705-244653205	1	Conserved	B-lymphocytes
chr2-8543584-8544084	1	Conserved	B-lymphocytes
chr2-9630874-9631374	1	Conserved	B-lymphocytes
chr2-10447762-10448762	1	Conserved	B-lymphocytes
chr2-12716594-12717094	1	Conserved	B-lymphocytes
chr2-20051491-20051991	1	Conserved	B-lymphocytes
chr2-27489598-27490098	1	Conserved	B-lymphocytes
chr2-30146476-30146976	1	Conserved	B-lymphocytes
chr2-30232077-30233078	1	Conserved	B-lymphocytes
chr2-30336978-30337478	1	Conserved	B-lymphocytes
chr2-33476380-33476880	1	Conserved	B-lymphocytes
chr2-42101143-42101643	1	Conserved	B-lymphocytes
chr2-42101924-42102424	1	Conserved	B-lymphocytes
chr2-42102544-42103044	1	Conserved	B-lymphocytes
chr2-42567791-42568291	1	Conserved	B-lymphocytes
chr2-42568386-42568886	1	Conserved	B-lymphocytes
chr2-43131120-43131620	1	Conserved	B-lymphocytes
chr2-43134298-43134798	1	Conserved	B-lymphocytes
chr2-43174299-43174799	1	Conserved	B-lymphocytes
chr2-43218164-43218664	1	Conserved	B-lymphocytes
chr2-43218704-43219204	1	Conserved	B-lymphocytes
chr2-43219502-43220002	1	Conserved	B-lymphocytes
chr2-44167740-44168240	1	Conserved	B-lymphocytes
chr2-44168290-44168790	1	Conserved	B-lymphocytes
chr2-46616842-46617342	1	Conserved	B-lymphocytes
chr2-47176609-47177109	1	Conserved	B-lymphocytes
chr2-47782795-47783295	1	Conserved	B-lymphocytes
chr2-47906401-47906901	1	Conserved	B-lymphocytes
chr2-54557598-54558098	1	Conserved	B-lymphocytes
chr2-54558119-54558619	1	Conserved	B-lymphocytes
chr2-55049399-55049899	1	Conserved	B-lymphocytes
chr2-55050369-55050869	1	Conserved	B-lymphocytes
chr2-55617503-55618003	1	Conserved	B-lymphocytes
chr2-60353797-60354297	1	Conserved	B-lymphocytes
chr2-60439345-60439845	1	Conserved	B-lymphocytes
chr2-60554965-60555465	1	Conserved	B-lymphocytes
chr2-60881267-60881767	1	Conserved	B-lymphocytes
chr2-61470996-61471496	1	Conserved	B-lymphocytes
chr2-61538138-61538638	1	Conserved	B-lymphocytes
chr2-61853846-61854847	1	Conserved	B-lymphocytes
chr2-62195822-62196322	1	Conserved	B-lymphocytes
chr2-64524009-64524509	1	Conserved	B-lymphocytes
chr2-64524549-64525049	1	Conserved	B-lymphocytes
chr2-64750925-64751425	1	Conserved	B-lymphocytes
chr2-65056063-65056563	1	Conserved	B-lymphocytes
chr2-65130028-65130528	1	Conserved	B-lymphocytes
chr2-68364990-68365490	1	Conserved	B-lymphocytes
chr2-68734620-68735120	1	Conserved	B-lymphocytes
chr2-68766212-68766712	1	Conserved	B-lymphocytes
chr2-68766987-68767487	1	Conserved	B-lymphocytes
chr2-68767635-68768135	1	Conserved	B-lymphocytes
chr2-70190805-70191305	1	Conserved	B-lymphocytes
chr2-74457404-74457904	1	Conserved	B-lymphocytes
chr2-86440550-86441050	1	Conserved	B-lymphocytes
chr2-86441059-86441559	1	Conserved	B-lymphocytes
chr2-88838220-88838720	1	Conserved	B-lymphocytes
chr2-88845776-88846276	1	Conserved	B-lymphocytes
chr2-96145272-96145772	1	Conserved	B-lymphocytes
chr2-96146057-96146557	1	Conserved	B-lymphocytes
chr2-96537061-96537561	1	Conserved	B-lymphocytes
chr2-111219283-111219783	1	Conserved	B-lymphocytes
chr2-113886422-113886922	1	Conserved	B-lymphocytes
chr2-135531103-135531603	1	Conserved	B-lymphocytes
chr2-136116912-136117412	1	Conserved	B-lymphocytes
chr2-136117930-136118430	1	Conserved	B-lymphocytes
chr2-136119046-136119546	1	Conserved	B-lymphocytes
chr2-136132191-136132691	1	Conserved	B-lymphocytes
chr2-136136110-136136610	1	Conserved	B-lymphocytes
chr2-136238735-136239235	1	Conserved	B-lymphocytes
chr2-143128520-143129020	1	Conserved	B-lymphocytes
chr2-143129054-143129554	1	Conserved	B-lymphocytes
chr2-148644446-148644946	1	Conserved	B-lymphocytes
chr2-148645078-148645578	1	Conserved	B-lymphocytes
chr2-152717286-152717786	1	Conserved	B-lymphocytes
chr2-157440952-157441452	1	Conserved	B-lymphocytes
chr2-157441643-157442143	1	Conserved	B-lymphocytes
chr2-157443836-157444336	1	Conserved	B-lymphocytes
chr2-157444625-157445125	1	Conserved	B-lymphocytes
chr2-157468812-157469312	1	Conserved	B-lymphocytes
chr2-157469351-157469851	1	Conserved	B-lymphocytes
chr2-161136631-161137131	1	Conserved	B-lymphocytes
chr2-171323298-171323798	1	Conserved	B-lymphocytes
chr2-173964019-173964519	1	Conserved	B-lymphocytes
chr2-173965174-173965674	1	Conserved	B-lymphocytes
chr2-174634373-174635373	1	Conserved	B-lymphocytes
chr2-175168128-175168628	1	Conserved	B-lymphocytes
chr2-177212346-177212846	1	Conserved	B-lymphocytes
chr2-177263358-177264358	1	Conserved	B-lymphocytes
chr2-177264521-177265021	1	Conserved	B-lymphocytes
chr2-181457034-181457534	1	Conserved	B-lymphocytes
chr2-181457897-181458397	1	Conserved	B-lymphocytes
chr2-190534289-190534789	1	Conserved	B-lymphocytes
chr2-190880469-190880969	1	Conserved	B-lymphocytes
chr2-190881388-190881888	1	Conserved	B-lymphocytes
chr2-190882051-190882551	1	Conserved	B-lymphocytes
chr2-191150785-191151285	1	Conserved	B-lymphocytes
chr2-195656871-195657371	1	Conserved	B-lymphocytes
chr2-195657387-195657887	1	Conserved	B-lymphocytes
chr2-196160023-196160523	1	Conserved	B-lymphocytes
chr2-196170722-196171222	1	Conserved	B-lymphocytes
chr2-196171445-196171945	1	Conserved	B-lymphocytes
chr2-196176016-196176516	1	Conserved	B-lymphocytes
chr2-196211185-196211685	1	Conserved	B-lymphocytes
chr2-196240150-196240650	1	Conserved	B-lymphocytes
chr2-200864486-200864986	1	Conserved	B-lymphocytes
chr2-202634625-202635125	1	Conserved	B-lymphocytes
chr2-207165986-207166486	1	Conserved	B-lymphocytes
chr2-207529694-207530194	1	Conserved	B-lymphocytes
chr2-214809787-214810287	1	Conserved	B-lymphocytes
chr2-223837355-223837855	1	Conserved	B-lymphocytes
chr2-224585306-224585806	1	Conserved	B-lymphocytes
chr2-231613544-231614044	1	Conserved	B-lymphocytes
chr2-231708060-231708560	1	Conserved	B-lymphocytes
chr2-233060050-233060550	1	Conserved	B-lymphocytes
chr2-233061739-233062239	1	Conserved	B-lymphocytes
chr2-233082154-233082654	1	Conserved	B-lymphocytes
chr2-233100526-233101026	1	Conserved	B-lymphocytes
chr2-233331458-233331958	1	Conserved	B-lymphocytes
chr2-233349099-233349599	1	Conserved	B-lymphocytes
chr2-233354183-233354683	1	Conserved	B-lymphocytes
chr2-241315017-241315517	1	Conserved	B-lymphocytes
chr2-241315561-241316061	1	Conserved	B-lymphocytes
chr3-5011494-5011994	1	Conserved	B-lymphocytes
chr3-10248162-10248662	1	Conserved	B-lymphocytes
chr3-13413964-13414464	1	Conserved	B-lymphocytes
chr3-28348374-28348874	1	Conserved	B-lymphocytes
chr3-28348877-28349377	1	Conserved	B-lymphocytes
chr3-30606243-30606743	1	Conserved	B-lymphocytes
chr3-30607075-30607575	1	Conserved	B-lymphocytes
chr3-31532249-31532749	1	Conserved	B-lymphocytes
chr3-32391564-32392064	1	Conserved	B-lymphocytes
chr3-39147685-39148185	1	Conserved	B-lymphocytes
chr3-39152110-39152610	1	Conserved	B-lymphocytes
chr3-45596274-45596774	1	Conserved	B-lymphocytes
chr3-45995608-45996108	1	Conserved	B-lymphocytes
chr3-48472959-48473459	1	Conserved	B-lymphocytes
chr3-52225490-52225990	1	Conserved	B-lymphocytes
chr3-53180708-53181208	1	Conserved	B-lymphocytes
chr3-66997905-66998405	1	Conserved	B-lymphocytes
chr3-71443897-71444397	1	Conserved	B-lymphocytes
chr3-88058239-88058739	1	Conserved	B-lymphocytes
chr3-88058829-88059329	1	Conserved	B-lymphocytes
chr3-94062660-94063160	1	Conserved	B-lymphocytes
chr3-100260610-100261110	1	Conserved	B-lymphocytes
chr3-101724654-101725154	1	Conserved	B-lymphocytes
chr3-101778903-101779403	1	Conserved	B-lymphocytes
chr3-101779527-101780027	1	Conserved	B-lymphocytes
chr3-102059495-102059995	1	Conserved	B-lymphocytes
chr3-105868837-105869337	1	Conserved	B-lymphocytes
chr3-108090826-108091326	1	Conserved	B-lymphocytes
chr3-108124332-108124832	1	Conserved	B-lymphocytes
chr3-108125528-108126028	1	Conserved	B-lymphocytes
chr3-108222265-108222765	1	Conserved	B-lymphocytes
chr3-112498867-112499867	1	Conserved	B-lymphocytes
chr3-113696556-113697056	1	Conserved	B-lymphocytes
chr3-113746073-113746573	1	Conserved	B-lymphocytes
chr3-113746791-113747291	1	Conserved	B-lymphocytes
chr3-114056371-114056871	1	Conserved	B-lymphocytes
chr3-115146759-115147259	1	Conserved	B-lymphocytes
chr3-115147448-115147948	1	Conserved	B-lymphocytes
chr3-120094328-120094828	1	Conserved	B-lymphocytes
chr3-120094833-120095333	1	Conserved	B-lymphocytes
chr3-121660179-121660679	1	Conserved	B-lymphocytes
chr3-121660681-121661181	1	Conserved	B-lymphocytes
chr3-121661350-121661850	1	Conserved	B-lymphocytes
chr3-121749597-121750097	1	Conserved	B-lymphocytes
chr3-121834888-121835388	1	Conserved	B-lymphocytes
chr3-129282595-129283095	1	Conserved	B-lymphocytes
chr3-133448427-133448927	1	Conserved	B-lymphocytes
chr3-133475118-133475618	1	Conserved	B-lymphocytes
chr3-133477418-133477918	1	Conserved	B-lymphocytes
chr3-149128806-149129807	1	Conserved	B-lymphocytes
chr3-150546388-150546888	1	Conserved	B-lymphocytes
chr3-156674252-156674752	1	Conserved	B-lymphocytes
chr3-159988518-159989018	1	Conserved	B-lymphocytes
chr3-170357087-170357587	1	Conserved	B-lymphocytes
chr3-170358050-170358550	1	Conserved	B-lymphocytes
chr3-183635340-183635840	1	Conserved	B-lymphocytes
chr3-183636360-183636860	1	Conserved	B-lymphocytes
chr3-185937841-185938341	1	Conserved	B-lymphocytes
chr3-186570269-186570769	1	Conserved	B-lymphocytes
chr3-186985877-186986377	1	Conserved	B-lymphocytes
chr3-186993938-186994438	1	Conserved	B-lymphocytes
chr3-186996251-186996751	1	Conserved	B-lymphocytes
chr3-191329126-191329626	1	Conserved	B-lymphocytes
chr3-194486774-194487274	1	Conserved	B-lymphocytes
chr3-194687735-194688235	1	Conserved	B-lymphocytes
chr3-194769018-194769518	1	Conserved	B-lymphocytes
chr3-196639446-196639946	1	Conserved	B-lymphocytes
chr3-196643116-196643616	1	Conserved	B-lymphocytes
chr4-18021845-18022345	1	Conserved	B-lymphocytes
chr4-37686268-37686768	1	Conserved	B-lymphocytes
chr4-37891114-37891614	1	Conserved	B-lymphocytes
chr4-38306565-38307065	1	Conserved	B-lymphocytes
chr4-40196183-40196683	1	Conserved	B-lymphocytes
chr4-40196759-40197259	1	Conserved	B-lymphocytes
chr4-42655980-42656480	1	Conserved	B-lymphocytes
chr4-42656934-42657434	1	Conserved	B-lymphocytes
chr4-48269675-48270175	1	Conserved	B-lymphocytes
chr4-67558408-67558908	1	Conserved	B-lymphocytes
chr4-67700997-67701497	1	Conserved	B-lymphocytes
chr4-73069585-73070085	1	Conserved	B-lymphocytes
chr4-73589455-73590455	1	Conserved	B-lymphocytes
chr4-75673260-75673760	1	Conserved	B-lymphocytes
chr4-77156517-77157017	1	Conserved	B-lymphocytes
chr4-77158048-77158548	1	Conserved	B-lymphocytes
chr4-77820053-77820553	1	Conserved	B-lymphocytes
chr4-80058701-80059201	1	Conserved	B-lymphocytes
chr4-81471249-81471749	1	Conserved	B-lymphocytes
chr4-81471752-81472252	1	Conserved	B-lymphocytes
chr4-81562062-81562562	1	Conserved	B-lymphocytes
chr4-87006615-87007115	1	Conserved	B-lymphocytes
chr4-98143287-98143787	1	Conserved	B-lymphocytes
chr4-99816480-99816980	1	Conserved	B-lymphocytes
chr4-101790665-101791165	1	Conserved	B-lymphocytes
chr4-102827309-102827809	1	Conserved	B-lymphocytes
chr4-102827872-102828372	1	Conserved	B-lymphocytes
chr4-113564882-113565382	1	Conserved	B-lymphocytes
chr4-113760946-113761446	1	Conserved	B-lymphocytes
chr4-113762476-113762976	1	Conserved	B-lymphocytes
chr4-140790782-140791282	1	Conserved	B-lymphocytes
chr4-152535966-152536466	1	Conserved	B-lymphocytes
chr4-153467153-153467653	1	Conserved	B-lymphocytes
chr4-173334308-173334808	1	Conserved	B-lymphocytes
chr4-173370601-173371101	1	Conserved	B-lymphocytes
chr4-184283170-184283670	1	Conserved	B-lymphocytes
chr4-184288313-184288813	1	Conserved	B-lymphocytes
chr4-185396400-185396900	1	Conserved	B-lymphocytes
chr5-10353435-10353935	1	Conserved	B-lymphocytes
chr5-32572966-32573466	1	Conserved	B-lymphocytes
chr5-41903933-41904433	1	Conserved	B-lymphocytes
chr5-50666409-50666909	1	Conserved	B-lymphocytes
chr5-50667917-50668417	1	Conserved	B-lymphocytes
chr5-56588850-56589350	1	Conserved	B-lymphocytes
chr5-56669438-56669938	1	Conserved	B-lymphocytes
chr5-56669987-56670487	1	Conserved	B-lymphocytes
chr5-56814295-56814795	1	Conserved	B-lymphocytes
chr5-56815155-56815655	1	Conserved	B-lymphocytes
chr5-56815744-56816244	1	Conserved	B-lymphocytes
chr5-56816703-56817203	1	Conserved	B-lymphocytes
chr5-57173561-57174061	1	Conserved	B-lymphocytes
chr5-67196528-67197028	1	Conserved	B-lymphocytes
chr5-72816288-72816788	1	Conserved	B-lymphocytes
chr5-75336855-75337355	1	Conserved	B-lymphocytes
chr5-88734214-88734714	1	Conserved	B-lymphocytes
chr5-88827142-88827642	1	Conserved	B-lymphocytes
chr5-88889248-88889748	1	Conserved	B-lymphocytes
chr5-89271352-89271852	1	Conserved	B-lymphocytes
chr5-89301556-89302056	1	Conserved	B-lymphocytes
chr5-89343645-89344145	1	Conserved	B-lymphocytes
chr5-90409672-90410172	1	Conserved	B-lymphocytes
chr5-90474566-90475066	1	Conserved	B-lymphocytes
chr5-91379991-91380491	1	Conserved	B-lymphocytes
chr5-91380802-91381302	1	Conserved	B-lymphocytes
chr5-95961159-95961659	1	Conserved	B-lymphocytes
chr5-95961687-95962187	1	Conserved	B-lymphocytes
chr5-96935003-96935503	1	Conserved	B-lymphocytes
chr5-96935708-96936208	1	Conserved	B-lymphocytes
chr5-100900695-100901195	1	Conserved	B-lymphocytes
chr5-100903096-100903596	1	Conserved	B-lymphocytes
chr5-109409812-109410312	1	Conserved	B-lymphocytes
chr5-122774750-122775250	1	Conserved	B-lymphocytes
chr5-123423220-123423720	1	Conserved	B-lymphocytes
chr5-124649420-124649920	1	Conserved	B-lymphocytes
chr5-124650058-124650558	1	Conserved	B-lymphocytes
chr5-124651535-124652035	1	Conserved	B-lymphocytes
chr5-124748075-124748575	1	Conserved	B-lymphocytes
chr5-124748633-124749133	1	Conserved	B-lymphocytes
chr5-131263751-131264251	1	Conserved	B-lymphocytes
chr5-131635117-131635617	1	Conserved	B-lymphocytes
chr5-132490656-132491156	1	Conserved	B-lymphocytes
chr5-139669810-139670310	1	Conserved	B-lymphocytes
chr5-139670315-139670815	1	Conserved	B-lymphocytes
chr5-139710580-139711080	1	Conserved	B-lymphocytes
chr5-142770069-142770569	1	Conserved	B-lymphocytes
chr5-148826227-148826727	1	Conserved	B-lymphocytes
chr5-150412608-150413108	1	Conserved	B-lymphocytes
chr5-157265838-157266838	1	Conserved	B-lymphocytes
chr5-157271684-157272184	1	Conserved	B-lymphocytes
chr5-157499767-157500267	1	Conserved	B-lymphocytes
chr5-157502052-157502552	1	Conserved	B-lymphocytes
chr5-159263023-159263523	1	Conserved	B-lymphocytes
chr5-169636986-169637486	1	Conserved	B-lymphocytes
chr5-172175269-172175769	1	Conserved	B-lymphocytes
chr5-177357600-177358100	1	Conserved	B-lymphocytes
chr5-177426230-177426730	1	Conserved	B-lymphocytes
chr5-177509367-177509867	1	Conserved	B-lymphocytes
chr5-180803667-180804167	1	Conserved	B-lymphocytes
chr5-180810298-180810798	1	Conserved	B-lymphocytes
chr6-390927-391427	1	Conserved	B-lymphocytes
chr6-391449-391949	1	Conserved	B-lymphocytes
chr6-2862678-2863178	1	Conserved	B-lymphocytes
chr6-11382093-11382593	1	Conserved	B-lymphocytes
chr6-11386247-11386747	1	Conserved	B-lymphocytes
chr6-12010787-12011287	1	Conserved	B-lymphocytes
chr6-12011344-12011844	1	Conserved	B-lymphocytes
chr6-14117401-14117901	1	Conserved	B-lymphocytes
chr6-16128724-16129224	1	Conserved	B-lymphocytes
chr6-26021250-26021750	1	Conserved	B-lymphocytes
chr6-26123805-26124305	1	Conserved	B-lymphocytes
chr6-26157751-26158251	1	Conserved	B-lymphocytes
chr6-26216517-26217017	1	Conserved	B-lymphocytes
chr6-27132587-27133087	1	Conserved	B-lymphocytes
chr6-27251719-27252219	1	Conserved	B-lymphocytes
chr6-30717291-30717791	1	Conserved	B-lymphocytes
chr6-32844490-32844990	1	Conserved	B-lymphocytes
chr6-33621052-33621552	1	Conserved	B-lymphocytes
chr6-34236597-34237097	1	Conserved	B-lymphocytes
chr6-35731282-35732282	1	Conserved	B-lymphocytes
chr6-36757186-36757686	1	Conserved	B-lymphocytes
chr6-36758423-36758923	1	Conserved	B-lymphocytes
chr6-37048885-37049385	1	Conserved	B-lymphocytes
chr6-37050121-37050621	1	Conserved	B-lymphocytes
chr6-41072195-41072695	1	Conserved	B-lymphocytes
chr6-41705762-41706262	1	Conserved	B-lymphocytes
chr6-41732413-41732913	1	Conserved	B-lymphocytes
chr6-41732996-41733496	1	Conserved	B-lymphocytes
chr6-41734062-41734562	1	Conserved	B-lymphocytes
chr6-42045609-42046109	1	Conserved	B-lymphocytes
chr6-42929146-42929646	1	Conserved	B-lymphocytes
chr6-47477479-47477979	1	Conserved	B-lymphocytes
chr6-69796833-69797333	1	Conserved	B-lymphocytes
chr6-72620122-72620622	1	Conserved	B-lymphocytes
chr6-72621340-72621840	1	Conserved	B-lymphocytes
chr6-72622035-72622535	1	Conserved	B-lymphocytes
chr6-72622978-72623478	1	Conserved	B-lymphocytes
chr6-73520973-73521473	1	Conserved	B-lymphocytes
chr6-89080412-89080912	1	Conserved	B-lymphocytes
chr6-89081507-89082007	1	Conserved	B-lymphocytes
chr6-90285507-90286007	1	Conserved	B-lymphocytes
chr6-106086084-106086584	1	Conserved	B-lymphocytes
chr6-106164384-106164884	1	Conserved	B-lymphocytes
chr6-108557781-108558281	1	Conserved	B-lymphocytes
chr6-108558285-108558785	1	Conserved	B-lymphocytes
chr6-108558820-108559320	1	Conserved	B-lymphocytes
chr6-109382244-109382744	1	Conserved	B-lymphocytes
chr6-110815278-110815778	1	Conserved	B-lymphocytes
chr6-111483536-111484036	1	Conserved	B-lymphocytes
chr6-111605691-111606191	1	Conserved	B-lymphocytes
chr6-111873265-111873765	1	Conserved	B-lymphocytes
chr6-113631075-113631575	1	Conserved	B-lymphocytes
chr6-113647142-113647642	1	Conserved	B-lymphocytes
chr6-113858054-113858554	1	Conserved	B-lymphocytes
chr6-113858772-113859272	1	Conserved	B-lymphocytes
chr6-119442739-119443239	1	Conserved	B-lymphocytes
chr6-129683885-129684385	1	Conserved	B-lymphocytes
chr6-142944931-142945431	1	Conserved	B-lymphocytes
chr6-142945596-142946096	1	Conserved	B-lymphocytes
chr6-142946834-142947334	1	Conserved	B-lymphocytes
chr6-142947336-142947836	1	Conserved	B-lymphocytes
chr6-144150155-144150655	1	Conserved	B-lymphocytes
chr6-158819148-158819648	1	Conserved	B-lymphocytes
chr6-158868914-158869414	1	Conserved	B-lymphocytes
chr6-158869573-158870073	1	Conserved	B-lymphocytes
chr6-166627181-166627681	1	Conserved	B-lymphocytes
chr7-5529696-5530196	1	Conserved	B-lymphocytes
chr7-7182277-7182777	1	Conserved	B-lymphocytes
chr7-7182984-7183484	1	Conserved	B-lymphocytes
chr7-7640389-7640889	1	Conserved	B-lymphocytes
chr7-7944922-7945422	1	Conserved	B-lymphocytes
chr7-7968440-7968940	1	Conserved	B-lymphocytes
chr7-7968955-7969455	1	Conserved	B-lymphocytes
chr7-8176192-8176692	1	Conserved	B-lymphocytes
chr7-16753387-16753887	1	Conserved	B-lymphocytes
chr7-16753965-16754465	1	Conserved	B-lymphocytes
chr7-21427040-21427540	1	Conserved	B-lymphocytes
chr7-21427721-21428221	1	Conserved	B-lymphocytes
chr7-23013945-23014445	1	Conserved	B-lymphocytes
chr7-32495158-32495658	1	Conserved	B-lymphocytes
chr7-32891798-32892298	1	Conserved	B-lymphocytes
chr7-35800801-35801301	1	Conserved	B-lymphocytes
chr7-37342620-37343120	1	Conserved	B-lymphocytes
chr7-37344840-37345340	1	Conserved	B-lymphocytes
chr7-37448646-37449146	1	Conserved	B-lymphocytes
chr7-39949410-39949910	1	Conserved	B-lymphocytes
chr7-50303758-50304258	1	Conserved	B-lymphocytes
chr7-50304404-50304904	1	Conserved	B-lymphocytes
chr7-50409919-50410419	1	Conserved	B-lymphocytes
chr7-66628608-66629108	1	Conserved	B-lymphocytes
chr7-75738954-75739454	1	Conserved	B-lymphocytes
chr7-76392997-76393497	1	Conserved	B-lymphocytes
chr7-92528394-92528894	1	Conserved	B-lymphocytes
chr7-92832869-92833369	1	Conserved	B-lymphocytes
chr7-92836383-92836883	1	Conserved	B-lymphocytes
chr7-100585605-100586605	1	Conserved	B-lymphocytes
